vtkCompositeIndexArray,vtkOriginalIndices,N,Time,__vtkIsSelected__,avg(Phi_e),avg(V),avg(X),avg(Y),avg(Z),avg(vtkOriginalPointIds),max(Phi_e),max(V),max(X),max(Y),max(Z),max(vtkOriginalPointIds),med(Phi_e),med(V),med(X),med(Y),med(Z),med(vtkOriginalPointIds),min(Phi_e),min(V),min(X),min(Y),min(Z),min(vtkOriginalPointIds),q1(Phi_e),q1(V),q1(X),q1(Y),q1(Z),q1(vtkOriginalPointIds),q3(Phi_e),q3(V),q3(X),q3(Y),q3(Z),q3(vtkOriginalPointIds),std(Phi_e),std(V),std(X),std(Y),std(Z),std(vtkOriginalPointIds),vtkValidPointMask
1,42,1,42,0,5.37149,-68.7746,0.24,0.2,0,222,5.37149,-68.7746,0.24,0.2,0,222,5.37149,-68.7746,0.24,0.2,0,222,5.37149,-68.7746,0.24,0.2,0,222,5.37149,-68.7746,0.24,0.2,0,222,5.37149,-68.7746,0.24,0.2,0,222,0,0,0,0,0,0,1
1,43,1,43,0,5.23145,-67.5251,0.24,0.2,0,222,5.23145,-67.5251,0.24,0.2,0,222,5.23145,-67.5251,0.24,0.2,0,222,5.23145,-67.5251,0.24,0.2,0,222,5.23145,-67.5251,0.24,0.2,0,222,5.23145,-67.5251,0.24,0.2,0,222,0,0,0,0,0,0,1
1,44,1,44,0,5.09938,-66.3253,0.24,0.2,0,222,5.09938,-66.3253,0.24,0.2,0,222,5.09938,-66.3253,0.24,0.2,0,222,5.09938,-66.3253,0.24,0.2,0,222,5.09938,-66.3253,0.24,0.2,0,222,5.09938,-66.3253,0.24,0.2,0,222,0,0,0,0,0,0,1
1,45,1,45,0,4.97429,-65.1687,0.24,0.2,0,222,4.97429,-65.1687,0.24,0.2,0,222,4.97429,-65.1687,0.24,0.2,0,222,4.97429,-65.1687,0.24,0.2,0,222,4.97429,-65.1687,0.24,0.2,0,222,4.97429,-65.1687,0.24,0.2,0,222,0,0,0,0,0,0,1
1,46,1,46,0,4.8554,-64.0501,0.24,0.2,0,222,4.8554,-64.0501,0.24,0.2,0,222,4.8554,-64.0501,0.24,0.2,0,222,4.8554,-64.0501,0.24,0.2,0,222,4.8554,-64.0501,0.24,0.2,0,222,4.8554,-64.0501,0.24,0.2,0,222,0,0,0,0,0,0,1
1,47,1,47,0,4.74211,-62.9657,0.24,0.2,0,222,4.74211,-62.9657,0.24,0.2,0,222,4.74211,-62.9657,0.24,0.2,0,222,4.74211,-62.9657,0.24,0.2,0,222,4.74211,-62.9657,0.24,0.2,0,222,4.74211,-62.9657,0.24,0.2,0,222,0,0,0,0,0,0,1
1,48,1,48,0,4.63393,-61.9122,0.24,0.2,0,222,4.63393,-61.9122,0.24,0.2,0,222,4.63393,-61.9122,0.24,0.2,0,222,4.63393,-61.9122,0.24,0.2,0,222,4.63393,-61.9122,0.24,0.2,0,222,4.63393,-61.9122,0.24,0.2,0,222,0,0,0,0,0,0,1
1,49,1,49,0,4.53044,-60.8873,0.24,0.2,0,222,4.53044,-60.8873,0.24,0.2,0,222,4.53044,-60.8873,0.24,0.2,0,222,4.53044,-60.8873,0.24,0.2,0,222,4.53044,-60.8873,0.24,0.2,0,222,4.53044,-60.8873,0.24,0.2,0,222,0,0,0,0,0,0,1
1,50,1,50,0,4.43129,-59.8891,0.24,0.2,0,222,4.43129,-59.8891,0.24,0.2,0,222,4.43129,-59.8891,0.24,0.2,0,222,4.43129,-59.8891,0.24,0.2,0,222,4.43129,-59.8891,0.24,0.2,0,222,4.43129,-59.8891,0.24,0.2,0,222,0,0,0,0,0,0,1
1,51,1,51,0,4.33617,-58.9159,0.24,0.2,0,222,4.33617,-58.9159,0.24,0.2,0,222,4.33617,-58.9159,0.24,0.2,0,222,4.33617,-58.9159,0.24,0.2,0,222,4.33617,-58.9159,0.24,0.2,0,222,4.33617,-58.9159,0.24,0.2,0,222,0,0,0,0,0,0,1
